Rank,Platform,Genre,Publisher,Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
1,Wii,Sports,Nintendo,Wii Sports,41.49,29.02,3.77,8.46,82.74
2,NES,Platform,Nintendo,Super Mario Bros.,29.08,3.58,6.81,0.77,40.24
3,Wii,Racing,Nintendo,Mario Kart Wii,15.85,12.88,3.79,3.31,35.82
4,Wii,Sports,Nintendo,Wii Sports Resort,15.75,11.01,3.28,2.96,33
5,GB,Role-Playing,Nintendo,Pokemon Red/Pokemon Blue,11.27,8.89,10.22,1,31.37
6,GB,Puzzle,Nintendo,Tetris,23.2,2.26,4.22,0.58,30.26
7,DS,Platform,Nintendo,New Super Mario Bros.,11.38,9.23,6.5,2.9,30.01
8,Wii,Misc,Nintendo,Wii Play,14.03,9.2,2.93,2.85,29.02
9,Wii,Platform,Nintendo,New Super Mario Bros. Wii,14.59,7.06,4.7,2.26,28.62
10,NES,Shooter,Nintendo,Duck Hunt,26.93,0.63,0.28,0.47,28.31
11,DS,Simulation,Nintendo,Nintendogs,9.07,11,1.93,2.75,24.76
12,DS,Racing,Nintendo,Mario Kart DS,9.81,7.57,4.13,1.92,23.42
13,GB,Role-Playing,Nintendo,Pokemon Gold/Pokemon Silver,9,6.18,7.2,0.71,23.1
14,Wii,Sports,Nintendo,Wii Fit,8.94,8.03,3.6,2.15,22.72
15,Wii,Sports,Nintendo,Wii Fit Plus,9.09,8.59,2.53,1.79,22
16,X360,Misc,Microsoft Game Studios,Kinect Adventures!,14.97,4.94,0.24,1.67,21.82
17,PS3,Action,Take-Two Interactive,Grand Theft Auto V,7.01,9.27,0.97,4.14,21.4
18,PS2,Action,Take-Two Interactive,Grand Theft Auto: San Andreas,9.43,0.4,0.41,10.57,20.81
19,SNES,Platform,Nintendo,Super Mario World,12.78,3.75,3.54,0.55,20.61
20,DS,Misc,Nintendo,Brain Age: Train Your Brain in Minutes a Day,4.75,9.26,4.16,2.05,20.22
21,DS,Role-Playing,Nintendo,Pokemon Diamond/Pokemon Pearl,6.42,4.52,6.04,1.37,18.36
22,GB,Platform,Nintendo,Super Mario Land,10.83,2.71,4.18,0.42,18.14
23,NES,Platform,Nintendo,Super Mario Bros. 3,9.54,3.44,3.84,0.46,17.28
24,X360,Action,Take-Two Interactive,Grand Theft Auto V,9.63,5.31,0.06,1.38,16.38
25,PS2,Action,Take-Two Interactive,Grand Theft Auto: Vice City,8.41,5.49,0.47,1.78,16.15
26,GBA,Role-Playing,Nintendo,Pokemon Ruby/Pokemon Sapphire,6.06,3.9,5.38,0.5,15.85
27,DS,Role-Playing,Nintendo,Pokemon Black/Pokemon White,5.57,3.28,5.65,0.82,15.32
28,DS,Puzzle,Nintendo,Brain Age 2: More Training in Minutes a Day,3.44,5.36,5.32,1.18,15.3
29,PS2,Racing,Sony Computer Entertainment,Gran Turismo 3: A-Spec,6.85,5.09,1.87,1.16,14.98
30,X360,Shooter,Activision,Call of Duty: Modern Warfare 3,9.03,4.28,0.13,1.32,14.76
31,GB,Role-Playing,Nintendo,Pokémon Yellow: Special Pikachu Edition,5.89,5.04,3.12,0.59,14.64
32,X360,Shooter,Activision,Call of Duty: Black Ops,9.67,3.73,0.11,1.13,14.64
33,3DS,Role-Playing,Nintendo,Pokemon X/Pokemon Y,5.17,4.05,4.34,0.79,14.35
34,PS4,Shooter,Activision,Call of Duty: Black Ops 3,5.77,5.81,0.35,2.31,14.24
35,PS3,Shooter,Activision,Call of Duty: Black Ops II,4.99,5.88,0.65,2.52,14.03
36,X360,Shooter,Activision,Call of Duty: Black Ops II,8.25,4.3,0.07,1.12,13.73
37,X360,Shooter,Activision,Call of Duty: Modern Warfare 2,8.52,3.63,0.08,1.29,13.51
38,PS3,Shooter,Activision,Call of Duty: Modern Warfare 3,5.54,5.82,0.49,1.62,13.46
39,PS2,Action,Take-Two Interactive,Grand Theft Auto III,6.99,4.51,0.3,1.3,13.1
40,Wii,Fighting,Nintendo,Super Smash Bros. Brawl,6.75,2.61,2.66,1.02,13.04
41,PS3,Shooter,Activision,Call of Duty: Black Ops,5.98,4.44,0.48,1.83,12.73
42,DS,Simulation,Nintendo,Animal Crossing: Wild World,2.55,3.52,5.33,0.88,12.27
43,3DS,Racing,Nintendo,Mario Kart 7,4.74,3.91,2.67,0.89,12.21
44,X360,Shooter,Microsoft Game Studios,Halo 3,7.97,2.83,0.13,1.21,12.14
45,PS4,Action,Take-Two Interactive,Grand Theft Auto V,3.8,5.81,0.36,2.02,11.98
46,DS,Action,Nintendo,Pokemon HeartGold/Pokemon SoulSilver,4.4,2.77,3.96,0.77,11.9
47,N64,Platform,Nintendo,Super Mario 64,6.91,2.85,1.91,0.23,11.89
48,PS2,Racing,Sony Computer Entertainment,Gran Turismo 4,3.01,0.01,1.1,7.53,11.66
49,Wii,Platform,Nintendo,Super Mario Galaxy,6.16,3.4,1.2,0.76,11.52
50,3DS,Role-Playing,Nintendo,Pokemon Omega Ruby/Pokemon Alpha Sapphire,4.23,3.37,3.08,0.65,11.33
51,GB,Adventure,Nintendo,Super Mario Land 2: 6 Golden Coins,6.16,2.04,2.69,0.29,11.18
52,X360,Action,Take-Two Interactive,Grand Theft Auto IV,6.76,3.1,0.14,1.03,11.02
53,PS,Racing,Sony Computer Entertainment,Gran Turismo,4.02,3.87,2.54,0.52,10.95
54,3DS,Platform,Nintendo,Super Mario 3D Land,4.89,2.99,2.13,0.78,10.79
55,PS3,Racing,Sony Computer Entertainment,Gran Turismo 5,2.96,4.88,0.81,2.12,10.77
56,PS3,Shooter,Activision,Call of Duty: Modern Warfare 2,4.99,3.69,0.38,1.63,10.69
57,PS3,Action,Take-Two Interactive,Grand Theft Auto IV,4.76,3.76,0.44,1.62,10.57
58,SNES,Platform,Nintendo,Super Mario All-Stars,5.99,2.15,2.12,0.29,10.55
59,GBA,Role-Playing,Nintendo,Pokemon FireRed/Pokemon LeafGreen,4.34,2.65,3.15,0.35,10.49
60,DS,Platform,Nintendo,Super Mario 64,5.08,3.11,1.25,0.98,10.42
61,Wii,Misc,Ubisoft,Just Dance 3,6.05,3.15,0,1.07,10.26
62,X360,Shooter,Activision,Call of Duty: Ghosts,6.72,2.63,0.04,0.82,10.21
63,X360,Shooter,Microsoft Game Studios,Halo: Reach,7.03,1.98,0.08,0.78,9.88
64,N64,Racing,Nintendo,Mario Kart 64,5.55,1.94,2.23,0.15,9.87
65,3DS,Platform,Nintendo,New Super Mario Bros. 2,3.66,3.07,2.47,0.63,9.82
66,X360,Shooter,Microsoft Game Studios,Halo 4,6.63,2.36,0.04,0.73,9.76
67,PS,Role-Playing,Sony Computer Entertainment,Final Fantasy VII,3.01,2.47,3.28,0.96,9.72
68,PS3,Shooter,Activision,Call of Duty: Ghosts,4.09,3.73,0.38,1.38,9.59
69,Wii,Misc,Ubisoft,Just Dance 2,5.84,2.89,0.01,0.78,9.52
70,PS,Racing,Sony Computer Entertainment,Gran Turismo 2,3.88,3.42,1.69,0.5,9.49
71,X360,Shooter,Activision,Call of Duty 4: Modern Warfare,5.91,2.38,0.13,0.9,9.32
72,SNES,Platform,Nintendo,Donkey Kong Country,4.36,1.71,3,0.23,9.3
73,X360,Misc,Microsoft Game Studios,Minecraft,5.58,2.83,0.02,0.77,9.2
74,3DS,Simulation,Nintendo,Animal Crossing: New Leaf,2.01,2.32,4.36,0.41,9.09
75,DS,Misc,Nintendo,Mario Party DS,4.46,1.88,1.98,0.7,9.02
76,X360,Role-Playing,Bethesda Softworks,The Elder Scrolls V: Skyrim,5.03,2.86,0.1,0.85,8.84
77,SNES,Racing,Nintendo,Super Mario Kart,3.54,1.24,3.81,0.18,8.76
78,PS4,Sports,Electronic Arts,FIFA 16,1.11,6.06,0.06,1.26,8.49
79,Wii,Misc,Nintendo,Wii Party,1.79,3.53,2.49,0.68,8.49
80,XB,Shooter,Microsoft Game Studios,Halo 2,6.82,1.53,0.05,0.08,8.49
81,Wii,Misc,Nintendo,Mario Party 8,3.81,2.3,1.58,0.73,8.42
82,DS,Role-Playing,Nintendo,Pokemon Black 2/Pokemon White 2,2.91,1.86,3.14,0.43,8.33
83,PS3,Action,Electronic Arts,FIFA Soccer 13,1.06,5.05,0.13,2.01,8.24
84,PC,Simulation,Electronic Arts,The Sims 3,0.98,6.42,0,0.71,8.11
85,N64,Shooter,Nintendo,GoldenEye 007,5.8,2.01,0.13,0.15,8.09
86,Wii,Sports,Sega,Mario & Sonic at the Olympic Games,2.58,3.9,0.66,0.91,8.06
87,PS2,Role-Playing,Sony Computer Entertainment,Final Fantasy X,2.91,2.07,2.73,0.33,8.05
88,PS,Role-Playing,SquareSoft,Final Fantasy VIII,2.28,1.72,3.63,0.23,7.86
89,DS,Role-Playing,Nintendo,Pokémon Platinum Version,2.82,1.78,2.69,0.55,7.84
90,2600,Puzzle,Atari,Pac-Man,7.28,0.45,0,0.08,7.81
91,PSP,Action,Take-Two Interactive,Grand Theft Auto: Liberty City Stories,2.9,2.83,0.24,1.75,7.72
92,Wii,Platform,Nintendo,Super Mario Galaxy 2,3.66,2.42,0.98,0.64,7.69
93,PS4,Shooter,Electronic Arts,Star Wars Battlefront (2015),2.93,3.29,0.22,1.23,7.67
94,PS4,Shooter,Activision,Call of Duty: Advanced Warfare,2.8,3.3,0.14,1.37,7.6
95,N64,Action,Nintendo,The Legend of Zelda: Ocarina of Time,4.1,1.89,1.45,0.16,7.6
96,PS,Platform,Sony Computer Entertainment,Crash Bandicoot 2: Cortex Strikes Back,3.78,2.17,1.31,0.31,7.58
97,NES,Platform,Nintendo,Super Mario Bros. 2,5.39,1.18,0.7,0.19,7.46
98,3DS,Fighting,Nintendo,Super Smash Bros. for Wii U and 3DS,3.24,1.35,2.42,0.43,7.45
99,X360,Shooter,Activision,Call of Duty: World at War,4.79,1.9,0,0.69,7.37
100,X360,Shooter,Electronic Arts,Battlefield 3,4.46,2.13,0.06,0.69,7.34
101,Wii,Action,Nintendo,The Legend of Zelda: Twilight Princess,3.83,2.19,0.6,0.7,7.31
102,XOne,Shooter,Activision,Call of Duty: Black Ops 3,4.52,2.09,0.01,0.67,7.3
103,Wii,Misc,Ubisoft,Just Dance,3.51,3.03,0,0.73,7.27
104,PS3,Shooter,Electronic Arts,Battlefield 3,2.85,2.93,0.35,1.1,7.23
105,PS2,Racing,Electronic Arts,Need for Speed Underground,3.27,2.83,0.08,1.02,7.2
106,PS,Fighting,Sony Computer Entertainment,Tekken 3,3.27,2.22,1.4,0.29,7.16
107,PS,Platform,Sony Computer Entertainment,Crash Bandicoot 3: Warped,3.68,1.75,1.42,0.28,7.13
108,GC,Fighting,Nintendo,Super Smash Bros. Melee,4.41,1.04,1.39,0.22,7.07
109,WiiU,Racing,Nintendo,Mario Kart 8,3.13,2.07,1.27,0.49,6.96
110,PS4,Role-Playing,Bethesda Softworks,Fallout 4,2.47,3.15,0.24,1.1,6.96
111,GC,Racing,Nintendo,Mario Kart: Double Dash!!,4.12,1.77,0.87,0.19,6.95
112,Wii,Misc,Ubisoft,Just Dance 4,4.14,2.21,0,0.56,6.91
113,PS3,Sports,Electronic Arts,FIFA 14,0.78,4.32,0.07,1.73,6.9
114,PS2,Racing,Electronic Arts,Need for Speed Underground 2,2.71,3.02,0.08,1.09,6.9
115,PS2,Shooter,Electronic Arts,Medal of Honor: Frontline,2.93,2.75,0.17,0.99,6.83
116,PS3,Action,Sony Computer Entertainment,Uncharted 3: Drake's Deception,2.77,2.8,0.19,1.06,6.83
117,PS,Platform,Sony Computer Entertainment,Crash Bandicoot,3.23,2.35,0.94,0.3,6.82
118,Wii,Sports,505 Games,Zumba Fitness,3.5,2.64,0,0.67,6.81
119,X360,Shooter,Microsoft Game Studios,Gears of War 2,4.15,1.92,0.06,0.64,6.76
120,PS3,Action,Sony Computer Entertainment,Uncharted 2: Among Thieves,3.27,2.25,0.21,1,6.73
121,PS3,Shooter,Activision,Call of Duty 4: Modern Warfare,3.1,2.3,0.28,1.04,6.72
122,PS3,Sports,Electronic Arts,FIFA 12,0.84,4.32,0.11,1.42,6.69
123,DS,Misc,Nintendo,Big Brain Academy,1.67,2.78,1.6,0.62,6.67
124,PS3,Action,Take-Two Interactive,Red Dead Redemption,2.79,2.61,0.17,1.03,6.6
125,PS4,Sports,Electronic Arts,FIFA 15,0.79,4.29,0.05,1.47,6.59
126,Wii,Platform,Nintendo,Donkey Kong Country Returns,3.25,1.84,1.03,0.47,6.59
127,PS3,Role-Playing,Bethesda Softworks,The Elder Scrolls V: Skyrim,2.55,2.71,0.25,1.05,6.56
128,NES,Action,Nintendo,The Legend of Zelda,3.74,0.93,1.69,0.14,6.51
129,PS3,Action,Ubisoft,Assassin's Creed III,2.64,2.56,0.16,1.14,6.5
130,XB,Shooter,Microsoft Game Studios,Halo: Combat Evolved,4.98,1.3,0.08,0.07,6.43
131,GBA,Role-Playing,Nintendo,Pokémon Emerald Version,2.57,1.58,2.06,0.21,6.41
132,PS2,Role-Playing,Sony Computer Entertainment,Kingdom Hearts,3.64,1.2,1.49,0.07,6.4
133,GB,Role-Playing,Nintendo,Pokémon Crystal Version,2.55,1.56,1.29,0.99,6.39
134,X360,Shooter,Microsoft Game Studios,Halo 3: ODST,4.34,1.35,0.06,0.61,6.36
135,X360,Action,Take-Two Interactive,Red Dead Redemption,3.7,1.97,0.09,0.57,6.34
136,GC,Platform,Nintendo,Super Mario Sunshine,4.01,1.26,0.87,0.17,6.31
137,SNES,Fighting,Capcom,Street Fighter II: The World Warrior,2.47,0.83,2.87,0.12,6.3
138,PC,Role-Playing,Activision,World of Warcraft,0.07,6.21,0,0,6.28
139,PS,Action,GT Interactive,Driver,3.11,2.8,0.02,0.33,6.27
140,X360,Sports,Microsoft Game Studios,Kinect Sports,3.92,1.78,0.03,0.51,6.24
141,X360,Shooter,Microsoft Game Studios,Gears of War 3,4.05,1.62,0.07,0.49,6.24
142,X360,Shooter,Microsoft Game Studios,Gears of War,3.54,1.9,0.07,0.6,6.11
143,PS2,Action,Konami Digital Entertainment,Metal Gear Solid 2: Sons of Liberty,2.45,2.01,0.87,0.72,6.05
144,GEN,Platform,Sega,Sonic the Hedgehog 2,4.47,1.2,0.16,0.19,6.03
145,PS3,Action,Konami Digital Entertainment,Metal Gear Solid 4: Guns of the Patriots,2.63,1.74,0.83,0.83,6.03
146,PS,Action,Konami Digital Entertainment,Metal Gear Solid,3.18,1.83,0.78,0.24,6.03
147,PS3,Action,Sony Computer Entertainment Europe,The Last of Us,2.41,2.28,0.28,1.01,5.99
148,PS2,Role-Playing,Square Enix,Final Fantasy XII,1.88,0,2.33,1.74,5.95
149,PS3,Platform,Sony Computer Entertainment,LittleBigPlanet,2.8,2.05,0.17,0.9,5.92
150,DS,Role-Playing,Nintendo,Dragon Quest IX: Sentinels of the Starry Skies,0.66,0.69,4.35,0.15,5.84
